SK_DEAL,DEAL_CRM_ID,DEAL_NAME,COMPANY_NAME,PIPELINE,DEAL_TYPE,DEAL_TEAM_NAME,DEAL_STAGE,DEAL_CLOSED_DATE,DEAL_CREATED_DATE,SALES_CYCLE_DAYS,DEAL_TOTAL_ARR,DEAL_NET_NEW_ARR,SALES_OWNER,CLOSED_LOST_REASON,HS_LOST_CATEGORIES,CALLS_ANALYZED,LATEST_CALL_DATE,EARLIEST_ANALYZED_CALL_DATE,ANALYZED_SK_CONVERSATIONS,GONG_LOST_CATEGORY,CATEGORY_MATCH,AI_REASON_SUPPORTED,AI_REASON_EXPLANATION
1777b422e1a9601b320c8c71a832d883,60272589093,Raptor Technologies,Raptor Technologies,Classic,newbusiness,US MM,Closed Lost,2026-08-27,2026-05-15,29,24000.00,24000.00,Daniel Alper,Internal Build;Price;Early stage;Budget,"[""Timing"",""Competitive"",""Commercial""]",3,2026-08-05,2026-07-20,"[""b035282a93e70597eb2aa3843a297f9c"",""3d2669d55b5710f7990baa795f1cab50"",""78f7c5b102b48d2e89e188098a75aede""]","[""Commercial"",""Fit"",""Value/Product""]",true,no,"The transcript shows Floyd actively working on internal evaluation and waiting for leadership feedback on visuals and requirements, with plans for follow-up meetings and continued collaboration. There's discussion of a ""build versus buy decision"" but no indication that they chose to build internally, rejected due to price/budget concerns, or determined they were too early stage. The conversations demonstrate ongoing engagement rather than deal closure for the stated reasons."
4d77e1a5b4a569e85a777b6de6e53cb4,59271792907,Bank of England | IDP | UK,Bank of England,Classic,newbusiness,EMEA Ent,Closed Lost,2026-08-25,2026-03-09,119,100000.00,100000.00,Jamie Summers,no_show,"[""No Engagement""]",1,2026-04-16,2026-04-16,"[""14506d2c223aecab3301edb44dc403a9""]","[""Commercial"",""Value/Product""]",false,no,"The transcript shows an active, engaged meeting where Bank of England representatives participated fully, discussed their challenges in detail, expressed clear interest in GetPort.io's solution, and committed to specific next steps including scheduling a follow-up demo. This directly contradicts a ""no_show"" loss reason, as the prospects clearly attended and were actively engaged throughout the call."
a37ec7a241d8835d6b7b296cfed16eaf,63532412467,ICW Group,ICW Group,Classic,newbusiness,US MM,Closed Lost,2026-08-19,2026-08-06,8,48000.00,48000.00,EJ Rauseo,Bad timing,"[""Timing""]",3,2026-08-13,2026-08-10,"[""ab23585c195c52e03b99f600f1bf2d79"",""8ccbb5ff875b29c105fd4e6fde2372d6"",""d35eaae46a3755ad5c3834259979e254""]","[""Commercial"",""Security"",""Timing"",""Value/Product""]",true,no,"The transcript shows active engagement in a pilot program with detailed technical discussions, POC environment setup, and next steps being planned. There is no indication the deal was lost due to timing issues - instead, the conversations demonstrate forward momentum with ICW Group requesting a Port environment and discussing implementation details."
d9351faf532bb42bbd1bbcb5e5f9e6d8,60696757594,Etsy,Etsy,Classic,newbusiness,US Ent,Closed Lost,2026-08-19,2026-05-28,73,150000.00,150000.00,Evan Smith,Unable to connect,"[""No Engagement""]",1,2026-06-05,2026-06-05,"[""b934a108fc2fcbb93dcdb63cf53970b8""]","[""Commercial"",""Value/Product"",""Security"",""Timing""]",false,no,"The transcript shows active engagement between GetPort.io and Etsy teams, with detailed technical discussions about Etsy's challenges and Port's solutions, plus concrete next steps including a security assessment and localized demo. This contradicts the stated reason of ""Unable to connect"" as the parties clearly connected and had substantive conversations about moving forward."
0df93aca90e744b556f8d3fe1eb37e34,53887211294,PayPal,PayPal,Classic,newbusiness,US Ent,Closed Lost,2026-08-18,2026-01-14,211,300000.00,300000.00,Jeff Graham,Competition,"[""Competitive""]",3,2026-02-19,2026-02-10,"[""31032f56bb91a324c0696cc884fdaff4"",""943f3b8e69206038876627e87d0f9b5b"",""ad133faa3a1f704621ca99074ba5da12""]","[""Commercial"",""Competitive"",""Fit"",""Value/Product""]",true,unknown,"The transcript does not reveal any loss reason at all. While the calls show PayPal providing feedback on demo complexity and requesting revisions, the conversations focus on iterative improvements and next steps rather than explaining why the deal was ultimately lost. The transcript ends with scheduled follow-up meetings and action items, indicating an ongoing evaluation process rather than a concluded decision with stated reasons."
7750773e3dbd39fd269e302bf52f255d,36187192222,AdventHealth,AdventHealth,Classic,newbusiness,US Ent,Closed Lost,2026-08-18,2025-04-24,370,200000.00,200000.00,Jeff Graham,Unable to connect,"[""No Engagement""]",3,2025-12-22,2025-12-09,"[""96a5b2a1453081d9eb594666f71aa7c4"",""ed87d47c191a56ef323921d3ef14feac"",""33ec9878ea5fbc4e90eb0762da2eed6c""]","[""Commercial"",""Security"",""Timing"",""Value/Product""]",false,unknown,"The transcript does not reveal any loss reason at all. The calls show active engagement with POC planning, action items being assigned, and meetings being rescheduled due to operational incidents, but there is no discussion of why the deal was ultimately lost or any indication that the parties were unable to connect."
b2498a4685d014ecd2fd2a69b9751097,55643609418,Nextera/FPL,Nextera/FPL,Classic,newbusiness,US Ent,Closed Lost,2026-08-18,2026-02-06,175,250000.00,250000.00,Jeff Graham,no_show;Unable to connect,"[""No Engagement""]",2,2026-02-25,2026-02-11,"[""cbbf023e9fee0793be64f1991c2bb39a"",""201e0f88881cf876bda7d0882fcc2a4d""]","[""Commercial"",""Value/Product""]",false,unknown,"The transcript summaries describe detailed product discussions and demonstrations between GetPort.io and Nextera/FPL, including technical requirements, features, and follow-up plans, but do not reveal any information about why the deal was ultimately lost or any connection issues that would support the stated ""no_show;Unable to connect"" reason."
36b597d07439c2454072d5a691329436,36313450848,JPMorganChase - ICB,JPMorgan Chase,Classic,newbusiness,US Ent,Closed Lost,2026-08-18,2025-04-25,475,250000.00,250000.00,Jeff Graham,Bad timing,"[""Timing""]",3,2026-07-29,2026-01-09,"[""b01caaee1ba7039f5ea1bcacb4f6f548"",""346b736d637e40ebba2786b404b31b54"",""e0d6cdcefaae0f6b008e61952dbd66da""]","[""Commercial"",""Value/Product""]",false,unknown,"The transcript summaries discuss ongoing collaboration efforts, POC preparation, and product demonstrations, but do not reveal any specific reason why the deal was ultimately lost. The calls show active engagement with potential clients including Chase Lee and JPMorgan Chase & Co., with no mention of timing issues or deal closure reasons."
acd1eb58ccaa744223319000bf8ee28e,36482151059,TD Bank,TD Bank,Classic,newbusiness,US Ent,Closed Lost,2026-08-18,2025-04-29,211,200000.00,200000.00,Jeff Graham,no_show;Bad timing,"[""No Engagement"",""Timing""]",2,2025-05-20,2025-05-02,"[""feef8a149382f28a202fc3fba5227a76"",""4dbae4b2d94091b021dbf520d8c68273""]","[""Commercial"",""Value/Product"",""Security""]",false,no,"The transcript shows active engagement with TD Bank discussing proof of concept, pricing, and next steps for implementation. There is no evidence of no-shows or bad timing - instead, the calls demonstrate rescheduling to include more stakeholders and progression toward a POC evaluation, contradicting the stated loss reasons."
32d20327b1b9fbe3a983e3ae8066800b,34693682526,Marriott,Marriott-Sp,Classic,newbusiness,US Ent,Closed Lost,2026-08-18,2025-03-14,518,250000.00,250000.00,Jeff Graham,no_show,"[""No Engagement""]",2,2025-03-25,2025-03-18,"[""2efe54db95c005f59eac3c4d56ac2b6f"",""01bec536dda539710b7a77d24d5da0e9""]","[""Commercial"",""Security"",""Value/Product""]",false,no,"The transcript clearly shows active engagement between GetPort.io and Marriott across multiple calls, with detailed discussions about technical capabilities, pricing, security reviews, and concrete next steps including follow-up sessions and demos. This contradicts the stated ""no_show"" reason, as Marriott representatives were clearly present and participating in the sales conversations."
