SK_DEAL,DEAL_CRM_ID,DEAL_NAME,COMPANY_NAME,PIPELINE,DEAL_TYPE,DEAL_TEAM_NAME,DEAL_STAGE,DEAL_CLOSED_DATE,DEAL_CREATED_DATE,SALES_CYCLE_DAYS,DEAL_TOTAL_ARR,DEAL_NET_NEW_ARR,SALES_OWNER,CLOSED_LOST_REASON,HS_LOST_CATEGORIES,CALLS_ANALYZED,LATEST_CALL_DATE,EARLIEST_ANALYZED_CALL_DATE,ANALYZED_SK_CONVERSATIONS,GONG_LOST_CATEGORY,CATEGORY_MATCH,AI_REASON_SUPPORTED,AI_REASON_EXPLANATION,AI_ALTERNATIVE_REASON
1777b422e1a9601b320c8c71a832d883,60272589093,Raptor Technologies,Raptor Technologies,Classic,newbusiness,US MM,Closed Lost,2026-08-27,2026-05-15,29,24000.00,24000.00,Daniel Alper,Internal Build;Price;Early stage;Budget,"[""Timing"",""Competitive"",""Commercial""]",3,2026-08-05,2026-07-20,"[""b035282a93e70597eb2aa3843a297f9c"",""3d2669d55b5710f7990baa795f1cab50"",""78f7c5b102b48d2e89e188098a75aede""]","[""Commercial"",""Fit"",""Value/Product""]",true,likely_yes,"The transcript shows Floyd describing a ""bureaucratic process"" involving waiting for ""paperwork"" from leadership, needing approval workflows through VP of Engineering and Finance, and being in early evaluation stages where he's ""educating his leadership on the importance of a developer portal"" as it's ""a new concept for many."" There's also mention of a ""build versus buy decision"" evaluation process and waiting for visual feedback from management before proceeding.",
a37ec7a241d8835d6b7b296cfed16eaf,63532412467,ICW Group,ICW Group,Classic,newbusiness,US MM,Closed Lost,2026-08-19,2026-08-06,8,48000.00,48000.00,EJ Rauseo,Bad timing,"[""Timing""]",3,2026-08-13,2026-08-10,"[""ab23585c195c52e03b99f600f1bf2d79"",""8ccbb5ff875b29c105fd4e6fde2372d6"",""d35eaae46a3755ad5c3834259979e254""]","[""Commercial"",""Competitive"",""Security"",""Value/Product""]",false,likely_yes,"The transcript shows the deal is stalled on legal prerequisites with the MNDA still undergoing redlines and not yet signed, causing them to ""put a pin in scheduling the next meeting until the MNDA is signed."" This legal bottleneck delaying progress aligns with timing-related obstacles, though the prospect appears otherwise engaged and moving toward a POC.",
36b597d07439c2454072d5a691329436,36313450848,JPMorganChase - ICB,JPMorgan Chase,Classic,newbusiness,US Ent,Closed Lost,2026-08-18,2025-04-25,475,250000.00,250000.00,Jeff Graham,Bad timing,"[""Timing""]",3,2026-07-29,2026-01-09,"[""b01caaee1ba7039f5ea1bcacb4f6f548"",""346b736d637e40ebba2786b404b31b54"",""e0d6cdcefaae0f6b008e61952dbd66da""]","[""Commercial"",""Value/Product""]",false,likely_no,"The transcript reveals that JPMC is already a customer of Cortex (a direct competitor), with Tali expressing surprise at learning ""JPMC is a Cortex customer"" and discussing a ""specific pocket of their US-based team using it."" This points to a competitive loss rather than timing issues, though the stated reason could still be partially valid if timing was also a factor.",existing Cortex implementation
0df93aca90e744b556f8d3fe1eb37e34,53887211294,PayPal,PayPal,Classic,newbusiness,US Ent,Closed Lost,2026-08-18,2026-01-14,211,300000.00,300000.00,Jeff Graham,Competition,"[""Competitive""]",3,2026-02-19,2026-02-10,"[""31032f56bb91a324c0696cc884fdaff4"",""943f3b8e69206038876627e87d0f9b5b"",""ad133faa3a1f704621ca99074ba5da12""]","[""Commercial"",""Competitive"",""Fit"",""Value/Product""]",true,no,"The transcript shows PayPal is actively evaluating multiple vendors through a formal ""vendor demo process"" that Anton describes as a ""bloodbath"" with architects asking complex questions. PayPal is systematically collecting feedback from architect forums to update requirements for ""subsequent vendor demos,"" indicating Port is one of several vendors being compared in a competitive evaluation process.",active competitive evaluation with multiple vendors
9684434f3caf1aef9acb9ee88aabbbd1,39009554273,CCU,DXC Technology,Classic,newbusiness,LATAM,Closed Lost,2026-08-17,2025-06-18,390,60000.00,60000.00,Ignacio De Loera,Bad timing,"[""Timing""]",3,2026-08-14,2026-07-15,"[""455802331cd005d1351cb5b330b493b2"",""89c8b3a8d320d9ca587eec028b2424bf"",""8a81eac81c94f0dfebef0bf6bf8efaf5""]","[""Commercial"",""Value/Product"",""Timing""]",true,yes,"The transcript shows clear timing-related signals: DXC needs internal alignment meetings with their CSM and account team before proceeding, they need to ""refine the proposal"" and ""narrow down possibilities"" before presenting to the end client Aguas Andinas, and they're coordinating next steps for ""ideally next week"" but with multiple internal coordination requirements first.",
6ab940981e3a119a6db130cff5c88b19,55682426384,Optum Inc,Optum,Classic,newbusiness,US Ent,Closed Lost,2026-08-13,2026-02-06,136,500000.00,500000.00,Rick Walker,Champion left/ Company cuts;Not right company/ persona,"[""Fit"",""Sponsorship""]",3,2026-07-21,2026-03-25,"[""dc2751907df58af69ab57037ad253960"",""fab32df9f281f2037429b6fbd72eaca6"",""57453c927be0e48ac24c1a8847dbe4e8""]","[""Commercial"",""Value/Product"",""Competitive"",""Security"",""Timing""]",false,yes,"The transcript clearly shows the champion left - Evan Smith clarified ""he no longer works at Optum and is now at Carrier, working in desktop support,"" confirming he's no longer in the relevant role at the target company. This directly corroborates the ""Champion left"" portion of the stated reason.",
a6849478473c0646cc9f4e2c2b3f094c,48338905173,Community Health Network,"Presidio Networked Solutions Group, LLC",Classic,newbusiness,US Ent,Closed Lost,2026-08-13,2025-11-05,274,24000.00,24000.00,Rick Walker,Security,"[""Security""]",1,2026-02-24,2026-02-24,"[""94358497e59443774a64be3a7cb3b487""]","[""Commercial"",""Value/Product""]",false,no,"The transcript shows the deal progressing through final contracting stages with a $24,000 agreement, discussing implementation details and next steps for quote delivery once the agreement is signed. There are no security concerns, compliance issues, or security review blockers mentioned anywhere in the discussion.",contracting/procurement process issues
736b70a3fc4d43c212e31259a1e6c4c6,55389460902,Arbor,Arbor,Classic,newbusiness,EMEA MM,Closed Lost,2026-08-12,2026-02-03,169,80000.00,80000.00,Matthew Bilsland,Early stage,"[""Timing""]",3,2026-03-06,2026-02-18,"[""8ec7f08af0b0e3d3f3df6c8087cc7de8"",""ed71d6e27ce9648af79ae71f49a6b06f"",""04186b648b1e522fefefac61d4863682""]","[""Commercial"",""Value/Product"",""Timing""]",true,yes,"Jason explicitly states that ""the IDP initiative has been deprioritized due to a shift in the DeveX team's objectives towards AI tooling"" and indicates they will ""revisit the IDP discussion around August/September."" This directly corroborates the ""Early stage"" reason, showing the prospect is not ready to proceed now due to shifted internal priorities and timeline deferral.",
aef0b35e8e697f03951f3b5e2c9f16cf,32321883544,Specsavers,Specsavers,Classic,newbusiness,EMEA Ent,Closed Lost,2026-08-11,2024-11-05,628,90000.00,90000.00,Benjamin Duckworth,Not right company/ persona;No value,"[""Fit"",""Value/Product""]",3,2026-04-23,2026-04-01,"[""27cb532a86cf7894b0ba9aa8d56303df"",""39ff34e4674e2cc0951fe3259f6e93ae"",""42458b60213b1ca95b328a4f0b95e3c4""]","[""Commercial"",""Value/Product""]",true,yes,"The transcript shows Chris from Specsavers actively requesting commercial pricing options for different user tiers and a ""Specsavery"" offer, discussing POC progress with live data integration, and asking for help quantifying business value in terms of time savings to align with stakeholder priorities. This indicates they are the right persona (platform engineering stakeholder) at a relevant company, and they are actively working to build a value case rather than rejecting the solution.",
2c878bf8d4bccfc5d1353d282bcb498f,51244893075,Darktrace,Darktrace,Classic,newbusiness,EMEA MM,Closed Lost,2026-08-07,2025-12-04,232,150000.00,150000.00,James Butcher,Price;Bad timing,"[""Timing"",""Commercial""]",2,2026-07-29,2025-12-17,"[""36d76a44274c6bb25532451447bc8849"",""cfe951e1feb864ebe611903984ee91b6""]","[""Commercial"",""Competitive"",""Security"",""Value/Product""]",true,likely_no,"Alexander confirms Darktrace is ""progressing with free options for their IDP, using an internal proof-of-concept system with Backstage"" and notes this ""might change the value proposition for GetPort.io's offerings."" He also confirms they ""plans to evaluate other products, including Backstage"" competitively. While there are timing elements (decision ""in the new year""), the transcript primarily points to competitive evaluation against their existing Backstage implementation.",competitive evaluation against existing Backstage system
