"Record ID","Deal Name","Close Date","Deal owner","HubSpot Team","Deal Stage","Amount","Segment ","Geography","POC Indication","Deal Stage Before Closed","In Call","Create Date","Qualified Date","Closed Lost Reason","Closed Lost Details","Managers In Call","Previous Amount","Evaluated competitors","Incumbent Competition","Cumulative time in ""SDR Discovery (Classic)"" (HH:mm:ss)","Cumulative time in ""SDR / Omitted  Opp (Classic)"" (HH:mm:ss)","Cumulative time in ""Demo / Presentation  (Classic)"" (HH:mm:ss)","Cumulative time in ""Business Validation (Classic)"" (HH:mm:ss)","Cumulative time in ""Formal Pilot (Classic)"" (HH:mm:ss)","Cumulative time in ""Business Case Confirmation (Classic)"" (HH:mm:ss)","Cumulative time in ""Negotiation / Legal (Classic)"" (HH:mm:ss)"
"60383598692","Phoenix Energy","2026-06-11 16:10","EJ Rauseo","US MM","Closed Lost","18000.0","Mid-Market","America","No POC","Demo / Presentation","No","2026-05-20 02:57","2026-06-03","Champion left/ Company cuts","CTO / Co-founder we were working with left the company unexpectedly ","","","","","","355:59:17","185:14:11","","","",""
"59273867795","PSL Group","2026-05-28 16:34","Jill Countey","US MM","Closed Lost","50000.0","Mid-Market","America","No POC","Demo / Presentation","No","2026-04-17 18:26","2026-04-20","No-show","Haven't heard from them to schedule demo with team","No","","","","","72:07:18","910:00:54","","","",""
"58369081867","Confluent IO","2026-05-11 22:08","Jill Countey","US MM","Closed Lost","200000.0","Mid-Market","America","No POC","Demo / Presentation","No","2026-03-26 17:44","2026-03-30","Bad timing","IBM acquisition - need to wait to sync with IBM leadership","No","","","","","95:30:31","1011:53:56","","","",""
"58211070822","Boostlingo","2026-04-15 15:47","Daniel Alper","US MM","Closed Lost","24000.0","Mid-Market","America","No POC","Pilot Prep","No","2026-03-20 18:41","2026-03-23","Product; No value; Price","looking for a DORA easy button, think they can vibe-code a portal","","19200.0","","None","","71:02:13","52:23:32","496:40:46","","",""
"58162021925","Smartsheet","2026-06-26 16:49","John Romano","US MM","Closed Lost","250000.0","Mid-Market","America","With POC","Pilot Prep","No","2026-03-19 13:08","2026-03-27","Competition","Went with Cortex due to Port's significant operational load.

Both evaluations used dummy data and Cortex's opinions out of the box led the team to select Cortex - connecting data integrations together in Port represented operational load the team was unwilling to take on. We mentioned vibe building / MCP connections as an area they did not spend enough time on, but decision has been made.

We also offered free solution services and highly discounted contract, but that did not move the needle.","No","400000.0","Cortex","Backstage; Datadog","","201:28:01","283:34:20","1893:38:19","","",""
"58135851009","Questrade","2026-05-28 16:35","Jill Countey","US MM","Closed Lost","100000.0","Mid-Market","America","No POC","Demo / Presentation","No","2026-03-18 19:04","2026-03-25","Unable to connect","Gone dark - will keep nurturing in 5x5","No","","","","","164:25:30","1536:05:50","","","",""
"58158685341","Alteryx Inc ","2026-05-18 23:48","Jill Countey","US MM","Closed Lost","200000.0","Mid-Market","America","No POC","Demo / Presentation","No","2026-03-18 16:20","2026-03-26","Product; Price","Sara said priorities changed - most likely they chose to build on their own","No","","","","","193:00:33","1277:27:42","","","",""
"57938986788","Audacy","2026-04-22 17:48","Daniel Alper","US MM","Closed Lost","24000.0","Mid-Market","America","No POC","Pilot Prep","No","2026-03-12 16:23","2026-03-18","Price; Partnership; Not right company/ persona; Other","Misalignment on IDP value and approach","","72000.0","","None","","146:13:41","356:45:16","481:25:47","","",""
"57601625172","Lendbuzz","2026-06-08 16:45","Jill Countey","US MM","Closed Lost","54000.0","Mid-Market","America","No POC","Demo / Presentation","No","2026-03-05 16:46","2026-03-06","Unable to connect; No-show","No response since intro call, need to schedule demo with Israel team. Will keep nurturing ","No","","","","","26:49:10","2252:10:27","","","",""
"57350814129","Mastercard","2026-07-02 16:13","Evan Smith","US Ent","Closed Lost","250000.0","Enterprise","America","No POC","Demo / Presentation","No","2026-03-02 19:38","2026-03-25","No-show","Duplicate Opp","","","","","","549:34:50","2373:59:34","","","",""
